DATE,GAP OF DAYS,LENGTH (cm),WEIGHT (kg),GROWTH RATE LENGTH,GROWTH RATE WEIGHT
4-Jul-23,7,55.6,2.04,0%,0%
11-Jul-23,7,55.8,1.76,0.36%,-13.73%
18-Jul-23,7,56,1.7,0.36%,-16.67%
25-Jul-23,7,56.2,1.64,0.36%,-20.10%
1-Aug-23,7,56.5,1.96,0.54%,-4.90%
8-Aug-23,7,56.6,1.98,0.18%,-3.92%
15-Aug-23,7,56.7,1.37,0.18%,-32.84%
22-Aug-23,7,56.8,1.82,0.18%,-10.78%
29-Aug-23,7,57,1.9,0.35%,-7.84%
5-Sep-23,7,57.2,2,0.35%,-2.00%
12-Sep-23,7,57.4,2.01,0.35%,-1.49%
19-Sep-23,7,57.5,1.9,0.17%,-6.86%
26-Sep-23,7,57.8,1.93,0.52%,-5.88%
