subpotnumber,longestleaf,plantheight,leafcount,status
SubPot1,109.0,148.0,7.0,Bad
SubPot2,104.0,153.0,7.0,Good
SubPot3,107.0,145.0,7.0,Normal
SubPot4,104.0,145.0,7.0,Normal
SubPot5,102.0,155.0,7.0,Bad
SubPot6,102.0,142.0,7.0,Good
SubPot7,103.0,149.0,7.0,Bad
SubPot8,100.0,148.0,6.0,Bad
SubPot9,101.0,141.0,7.0,Bad
SubPot10,105.0,142.0,7.0,Bad
SubPot11,109.0,146.0,7.0,Bad
SubPot12,105.0,142.0,7.0,Good
SubPot13,103.0,148.0,7.0,Bad
SubPot14,102.0,150.0,7.0,Bad
SubPot15,101.0,151.0,6.0,Good
SubPot16,106.0,149.0,6.0,Normal
SubPot17,108.0,146.0,7.0,Bad
SubPot18,103.0,142.0,7.0,Bad
SubPot19,105.0,144.0,6.0,Bad
SubPot20,107.0,147.0,6.0,Bad
SubPot21,100.0,155.0,7.0,Good
SubPot22,103.0,143.0,7.0,Good
SubPot23,107.0,147.0,7.0,Normal
SubPot24,107.0,152.0,6.0,Bad
SubPot25,100.0,151.0,7.0,Normal
SubPot26,102.0,155.0,6.0,Bad
SubPot27,106.0,143.0,7.0,Good
SubPot28,102.0,141.0,6.0,Bad
SubPot29,108.0,145.0,7.0,Good
SubPot30,99.0,143.0,6.0,Good
SubPot31,101.0,149.0,7.0,Bad
SubPot32,102.0,154.0,7.0,Bad
SubPot33,109.0,151.0,6.0,Bad
SubPot34,108.0,142.0,6.0,Bad
SubPot35,109.0,142.0,7.0,Bad
SubPot36,104.0,155.0,7.0,Bad
SubPot37,108.0,148.0,6.0,Bad
SubPot38,108.0,155.0,7.0,Bad
SubPot39,103.0,152.0,7.0,Bad
SubPot40,110.0,156.0,6.0,Bad
