subpotnumber,longestleaf,plantheight,leafcount,status
SubPot1,12,200,10,Good
SubPot2,15,220,8,Good
SubPot3,10,180,15,Bad
SubPot4,14,250,12,Good
SubPot5,16,230,9,Good
SubPot6,11,210,13,Bad
SubPot7,13,240,11,Good
SubPot8,17,260,7,Good
SubPot9,9,190,14,Bad
SubPot10,14,220,10,Good
SubPot11,15,240,8,Good
SubPot12,13,210,12,Good
SubPot13,16,230,9,Good
SubPot14,10,180,15,Bad
SubPot15,14,250,12,Good
SubPot16,16,230,9,Good
SubPot17,11,210,13,Bad
SubPot18,13,240,11,Good
SubPot19,17,260,7,Good
SubPot20,9,190,14,Bad
SubPot21,14,220,10,Good
SubPot22,15,240,8,Good
SubPot23,13,210,12,Good
SubPot24,16,230,9,Good
SubPot25,10,180,15,Bad
SubPot26,14,250,12,Good
SubPot27,16,230,9,Good
SubPot28,11,210,13,Bad
SubPot29,13,240,11,Good
SubPot30,17,260,7,Good
SubPot31,9,190,14,Bad
SubPot32,14,220,10,Good
SubPot33,15,240,8,Good
SubPot34,13,210,12,Good
SubPot35,16,230,9,Good
SubPot36,10,180,15,Bad
SubPot37,14,250,12,Good
SubPot38,16,230,9,Good
SubPot39,11,210,13,Bad
SubPot40,13,240,11,Good
