subpotnumber,longestleaf,plantheight,leafcount,status
SubPot1,104.0,161.0,7.0,Bad
SubPot2,101.0,156.0,6.0,Normal
SubPot3,103.0,150.0,6.0,Bad
SubPot4,109.0,159.0,7.0,Normal
SubPot5,103.0,154.0,7.0,Bad
SubPot6,105.0,157.0,6.0,Good
SubPot7,108.0,149.0,6.0,Bad
SubPot8,108.0,160.0,7.0,Bad
SubPot9,101.0,157.0,6.0,Bad
SubPot10,101.0,164.0,7.0,Normal
SubPot11,103.0,151.0,7.0,Good
SubPot12,106.0,148.0,6.0,Bad
SubPot13,99.0,162.0,7.0,Bad
SubPot14,101.0,150.0,7.0,Bad
SubPot15,101.0,156.0,7.0,Normal
SubPot16,107.0,149.0,7.0,Bad
SubPot17,103.0,159.0,6.0,Bad
SubPot18,104.0,163.0,6.0,Bad
SubPot19,110.0,162.0,7.0,Bad
SubPot20,103.0,153.0,7.0,Bad
SubPot21,101.0,148.0,7.0,Bad
SubPot22,106.0,149.0,7.0,Bad
SubPot23,101.0,162.0,7.0,Bad
SubPot24,100.0,162.0,7.0,Good
SubPot25,101.0,152.0,7.0,Good
SubPot26,105.0,155.0,6.0,Normal
SubPot27,103.0,151.0,6.0,Bad
SubPot28,102.0,162.0,6.0,Bad
SubPot29,103.0,154.0,7.0,Good
SubPot30,102.0,159.0,7.0,Bad
SubPot31,101.0,148.0,7.0,Good
SubPot32,109.0,151.0,6.0,Good
SubPot33,109.0,148.0,7.0,Bad
SubPot34,104.0,158.0,7.0,Bad
SubPot35,104.0,162.0,7.0,Bad
SubPot36,108.0,159.0,7.0,Good
SubPot37,106.0,152.0,7.0,Bad
SubPot38,102.0,155.0,7.0,Bad
SubPot39,107.0,160.0,7.0,Good
SubPot40,99.0,155.0,7.0,Bad
