subpotnumber,longestleaf,plantheight,leafcount,status
SubPot1,104.0,148.0,7.0,Bad
SubPot2,106.0,145.0,7.0,Bad
SubPot3,102.0,143.0,7.0,Bad
SubPot4,101.0,150.0,7.0,Bad
SubPot5,104.0,138.0,7.0,Normal
SubPot6,103.0,144.0,7.0,Good
SubPot7,105.0,137.0,7.0,Bad
SubPot8,100.0,144.0,6.0,Bad
SubPot9,110.0,137.0,7.0,Good
SubPot10,110.0,138.0,6.0,Bad
SubPot11,107.0,138.0,7.0,Normal
SubPot12,105.0,146.0,7.0,Good
SubPot13,102.0,148.0,6.0,Good
SubPot14,108.0,145.0,7.0,Good
SubPot15,107.0,151.0,7.0,Bad
SubPot16,101.0,142.0,7.0,Bad
SubPot17,109.0,141.0,6.0,Bad
SubPot18,108.0,150.0,7.0,Normal
SubPot19,109.0,140.0,7.0,Normal
SubPot20,107.0,151.0,7.0,Bad
SubPot21,106.0,137.0,7.0,Bad
SubPot22,104.0,151.0,7.0,Good
SubPot23,109.0,137.0,7.0,Good
SubPot24,109.0,150.0,7.0,Bad
SubPot25,99.0,145.0,7.0,Bad
SubPot26,99.0,152.0,7.0,Bad
SubPot27,103.0,138.0,6.0,Bad
SubPot28,108.0,145.0,6.0,Bad
SubPot29,110.0,151.0,7.0,Bad
SubPot30,101.0,144.0,7.0,Bad
SubPot31,106.0,146.0,7.0,Normal
SubPot32,103.0,147.0,6.0,Good
SubPot33,110.0,143.0,6.0,Bad
SubPot34,108.0,146.0,6.0,Good
SubPot35,108.0,145.0,7.0,Bad
SubPot36,104.0,150.0,7.0,Bad
SubPot37,104.0,137.0,7.0,Bad
SubPot38,102.0,141.0,7.0,Bad
SubPot39,100.0,151.0,7.0,Bad
SubPot40,109.0,150.0,7.0,Bad
